Name,Category,Well_Known_Movie,Bio
Dyutiman Mukhopadhyay,Director,3 Long Takes Dedicated to Abbas Kiarostami,"Dyutiman Mukhopadhyay is a cultural neuro-scientist who works on the social psychology and brain correlates of emotion, arts and creativity"
Joel Jayakar,Director,Trinity,"Joel Jayakar is a Hollywood writer/director, who is currently working on his debut film '"
Paul Roche,Actor,Oedipus the King,"Paul Roche was born on September 25, 1916 in Mussoorie, India as Donald Robert Paul Roche"
Darshan Dayal,Producer,Nanban,
Rohan Chauhan,Music Department,Jagga Jasoos,
Sanaya Khatri,Director,Turning Pages,Sanaya Khatri was born in India on the 17th of December 1997
Sanjib Hazarika,Director,Haladhar,
Raviteja Cherughattu,Assistant Director,Humans,"Raviteja Cherughattu was born on May 22, 1993 in India"
Syed Mustafa Siraj,Writer,Faltu,
Sibi Naayagam,Director,The Waltz of Death,"Sibi Naayagam was born on March 24, 1994 in Chennai, Tamil Nadu, India"
Sagar Thackar,Producer,Neron,
Nikul Thakkar,Actor,The Visitor from Elsewhere,"Nikul Thakkar was born on June 26, 1980 in India"
Harish Kasula,Producer,Dreadful Fate,
S.O. Wagner,Director,Oben und unten,
Rupesh Talaskar,Art Department,Na Bhuto Na Bhavishyati,1st class 1st in Maharashtra higher art examination (2005)
Raghunath Seth,Composer,The Death Sentence: Mrityu Dand,"Raghunath Seth was born in 1931 in Gwalior, Central India Agency, British India"
Dev Agarwal,Cinematographer,Unheard Voices and Notes to Myself,Dev Agarwal is an Indian cinematographer and documentry film director
Milind Dhoke,Director,The Vengeance,
Gajula Ramesh,Producer,Meera a Bloody Love Story,
Aroop Dwivedi,Writer,AAi,Aroop Dwivedi an independent animation film maker and Animation trainer from India
Naresh Jakhu,Editor,Pure Punjabi,"Naresh Jakhu is born in Jalandhar, Punjab"
H. Scott Leslie,Actor,The Reward of Chivalry,H
Raju T.V.,Composer,Panduranga Mahatyam,Raju T
Tarun Vyas,Actor,Shuddh Desi Romance,Tarun Vyas (born 15 October) is an Indian actor and Tv anchor
Anil Johnson,Composer,Drishyam,
Madhu Sinha,Editor,Chehre Pe Chehra,
Malaya Sarkar,Actress,Swapno O Samadhi,"Malaya Sarkar was born on February 26, 1932 in Calcutta, India"
V. Thyagarajan,Camera Department,Rangasthalam,
Harinder Pal Sandhu,Self,Commonwealth Games,"Harinder Pal Sandhu was born on March 31, 1989 in Chandigarh, Punjab, India"
Rahul Ramteke,Cinematographer,Oye!,
Master Krishnarao,Composer,Manoos,
Debabrata Chatterjee,Visual Effects,Shazam!,
Vijay Kumar,Self,Commonwealth Games,"Vijay Kumar was born on August 19, 1985 in Harsour, Himachal Pradesh, India"
Amit Ramesh Rughani,Director,Mizrab: A Silent Shout,"Amit Ramesh Rughani was born on October 26, 1988 in Porbandar, Gujarat, India"
Mohit Tadakamalla,Actor,DreamScope,"Mohit Tadakamalla was born on July 23, 2001 in Hyderabad, Telangana, India"
Bano Qudsia,Writer,Piya Naam Ka Diya,
Kartar Singh Duggal,Writer,Dus Kahaniyaan,
Prabir Kundu,Director,Atmiyo - The Soulmate,"Coming from a non filmy background, Prabir Kundu made various shortfilms, music videos and web contents from 2009"
Gubbi Veeranna,Producer,Sri Kalahastiswara Mahatyam,"Gubbi Veeranna was born in 1890 in Gubbi, India as Gubbi H"
Samik Roy Choudhury,Visual Effects,The Mummy: Tomb of the Dragon Emperor,"Samik Roy Choudhury was born on August 30, 1983 in Kolkata, West Bengal, India"
Buddhadeb Bhattacharya,Self,Heritage of Thrall,"Buddhadeb Bhattacharya was born on March 1, 1944 in Calcutta, Bengal Presidency, British India"
Ankit Saxena,Animation Department,Star Wars: Resistance,
Apurva Dhal,Visual Effects,Happy New Year,
Haji Maqbool Ahmed Sabri,Music Department,Gangaa Jamunaa Saraswathi,"Haji Maqbool Ahmed Sabri was the co-lead and vocalist of the Qawalli group, 'The Sabri Brothers', alongside his brother Haji Ghulam Farhid Sabri"
Asher Abraham,Sound Department,Who Killed Nelson Nutmeg?,"Hailing from Kerala, the southern state of India, Asher Abraham specializes in designing, recording and mixing sound for motion pictures"
Chinna Gannoji,Assistant Director,Bhai,
Hameer Ram,Producer,Tari Muskurahat,
Sachin Aggarwal,Director,Seher,"Sachin Aggarwal born on 17th of January, 1994 in Rohtak City of Haryana State in India is a Freelance Film maker and Actor"
Abbasuddin Ahmed,Composer,Asiya,
Mark Mathews Stanley,Actor,A Billion to One,Mark Stanley is the co-founder of the Dubai-based production company MVTV Productions
Madhura Berman,Producer,The Wait,Creating work that gives a voice to those who feel lost in their ability find where they belong is what Madhura Berman's work is influenced around
Amiya Dasgupta,Music Department,Performance,
Shri Aurobindo,Self,Shri Aurobindo: Glimpses of His Life,"Shri Aurobindo was born on August 15, 1872 in Calcutta, Bengal Presidency, British India as Aurobindo Ghose"
Samidh Mukherjee,Composer,Macho Mustanaa,"Samidh Mukherjee was born on June 9, 1974 in Kanpur, Uttar Pradesh, India"
Adi Agashé,Actor,Veiled Lies,"Adi Agashé was born on June 10, 1997 in Pune, Maharashtra, India as Chandrashekhar Agashe II"
Sailadhar Barooah,Producer,Hkhagoroloi Bohu Door,
Levine Andrade,Music Department,Chatarra,
Eliezer Sircar,Assistant Director,1978: A Teen Night Out,
Mukund Ambarish,Composer,Amal,"Mukund Ambarish is a Film Composer/Music Producer born and brought up in Chennai, India"
Ram Singh Thakuri,Music Department,Gumnaami,
Varadaraja V. Raman,Self,Closer to Truth,"Emeritus Professor of Physics and Humanities at the Rochester Institute of Technology, and winner of the prestigious 2006 Raja Rao Award for outstanding contributions to the literature and culture of the South Asian Diaspora"
Vishnu Mathur,Director,Pehla Adhyay,
Kjiva,Director,Kjiva,Director |
Ayaz Ahmed Vijapurwala,Visual Effects,The First Purge,
Munier Chowdhury,Writer,Nayan Tara,
Navneet Chhajer,Producer,Chasing Valentine,"Navneet Chhajer was born on January 3, 1981 in Calcutta, India"
Mustafa Monwar,Producer,Mukhora Romoni Boshikoron,
Zuhair Kashmeri,Writer,The Golden Pen,"Zuhair Kashmeri was born on December 3, 1946 in Bombay, India"
G. Monic Kumar,Camera Department,Mission: Impossible - Ghost Protocol,
Fatima Suraiya Bajia,Self,Nestle Nesvita Woman of Strength '09,"Fatima Suraiya Bajia was born in 1930 in Hyderabad, Hyderabad, British India"
Musa Husain,Art Department,Fan,
Rajendra Pachauri,Self,2050,"Rajendra Pachauri was born on August 20, 1940 in Nainital, Uttarakhand, India as Rajendra Kumar Pachauri"
Arjun Mahadev Vriti,Cinematographer,Chhappan Bhai,Arjun Mahadev Vriti (Arjun Kumar Gupta) is a film maker as well as film distributor too
Devaj Narayan,Assistant Director,Ajanabee,"Patna Bihar, India"
Sherif,Writer,Eeta,
Malik Anokha,Actor,Aisa Bhi Hota Hai,"Malik Anokha was born in 1943 in Mirpur Khas, Sindh, British India as Malik Akber Abbas"
Jaswant Singh Kanwal,Writer,Haani,
Nikhil Menon,Sound Department,Champ of the Camp,"With a strong concept of Psychoacoustics, Nikhil Menon has created ""Experiences rather than mere memories"" as a sound designer and mix engineer"
Nikhil Baran Sengupta,Art Director,Bidhira Bidhan,"Nikhil Baran Sengupta was born on December 13, 1943 in Chittagong, East Bengal, British India"
Mehta Rajeev,Director,Project Ekagrith: The Beginning,Rajeev Mehta is Indian Filmmaker & Graphic Designer
Boyd Cable,Writer,The Rolling Road,
Satya,Actor,Vangaveeti,"Satya was born on November 6, 1993 in Vijayawada, Andhra Pradesh, India"
Tosh Nanda,Composer,Mr.Veerappan,
Sunanda Patnaik,Composer,Nilamadhaba,
Ramu Raj,Composer,The Notion,
Lara Chib,Actor,Lead Me to the Clouds,"Lara Chib was born on July 11, 1990 in New Delhi, India"
Chapman Pincher,Self,Channel 4 News,"Chapman Pincher was born on March 29, 1914 in Ambala, Punjab, British India as Henry (Harry) Chapman Pincher"
Choudrie Rajendra Prasad,Cinematographer,Hawas,
K.D. George,Editorial Department,Chemmeen,
Swathi Ravichandran,Music Department,Nalanum Nandhiniyum,
Priya Vashist,Director,Serendipity,Priya Vashist is an architect turned filmmaker
Indira Goswami,Writer,Adajya,
Harshavardhan Reddy,Visual Effects,The Lion King,
Mahitha Mohan,Self,Commonwealth Games,"Mahitha Mohan was born on June 1, 1988 in Manakkad, Kerala, India"
Sudhir Baisakhiya,Make Up Department,Mr. Natwarlal,"Sudhir Baisakhiya was born on November 24, 1948 in Sagar, Madhya Pradesh, India"
Kingzee Chhachhi,Producer,Deyo Wadhaiyan Sada Vi Vyah Hogeya,
K.S.L. Swamy,Director,Shri Krishna Rukmini Satyabhama,K
Vinita Kumar,Actress,JLT's Project Indian Bride,"Vinita Kumar was born on August 17, 1986 in Kannur, Kerala, India"
Abhishek Rai,Cinematographer,Deep Diaries: A Father Never Fails,
Amber Gurung,Composer,Man ko bandh,
Deepak Abbot,Producer,Electric City,"Deepak worked closely with Tom Hanks at the conceptualization stage of ""The"
O.V. Vijayan,Writer,Arimpara,
Indra Nooyi,Self,Fareed Zakaria GPS,"Indra Nooyi was born on October 28, 1955 in Chennai, Tamil Nadu, India"
Dwijen Mukherjee,Music Department,Sharey Chuattar,
Manoj Mairta,Writer,Mere Pyare Prime Minister,Manoj Mairta is a Screenwriter known for writing film Mere Pyaare Prime Minister
Baiju Bawra,Music Department,Charulata,
Ankit Gokani,Visual Effects,Ant-Man,"Mumbai,India"
Robin Jackman,Self,Test Match Cricket,"Robin Jackman was born on August 13, 1945 in Simla, Punjab, British India"
Charles Thurley Stoneham,Writer,King of the Jungle,"Author of novels, short stories and tales of big game hunting in East Africa"
Salamat Ali Khan,Music Department,Mauseeqar,"Salamat Ali Khan was born in 1934 in Hoshiarpur, Punjab, India"
Devang Gandhi,Self,Aborto,
Vijaya Lakshmi Pandit,Self,Longines Chronoscope,"Vijaya Lakshmi Pandit was born on August 18, 1900 in Allahabad, North-Western Provinces, British India as Sarup Nehru"
Jean-Rodolphe Kars,Music Department,Music on 2,"Jean-Rodolphe Kars was born in 1947 in Calcutta, India"
Satyanarayana Sunkara,Writer,Edi Nijam,
Nirmal Verma,Writer,Maya Darpan,
Parth Pandya,Producer,Invasion Planet Earth,
Manikandan Mathivanan,Director,Fated,"Manikandan Mathivanan, is Director Of Photography from India based in Los Angeles"
Raj Dangal,Music Department,Bhool Bhulaiyaa: It's Not Just a Story,"Raj Dangal was born on January 18, 1998 in Kolkata, West Bengal, India"
Baburao Patel,Director,Maharani,
Subburaman C.R.,Composer,Laila Majnu,
Sohel Rodrigues,Visual Effects,Once Upon a Time in Mumbaai,"Pixion Studios, Century Communication Ltd"
Peter Rice,Costume Designer,Three Men in a Boat,
Lal Krishna Advani,Self,Chala Murari Hero Banne,"Lal Krishna Advani was born on November 8, 1927 in Karachi, Bombay Presidency, British India"
Chayan Dey,Sound Department,Sanju,
Amalendu Chakraborty,Writer,Akaler Sandhane,
Puneet Rakheja,Director,Country of Bodies: Bombay in Dance,
Ahmed Rushdi,Music Department,Ishara,"Ahmed Rushdi was born on April 24, 1934 in Hyderabad Deccan, British India"
Aga Hashr Kashmiri,Director,Bharati Balak,"Aga Hashr Kashmiri was born on April 3, 1879 in Benares, North-Western Provinces, British India"
Meher Baba,Self,Nema aviona za Zagreb,"Meher Baba was born on February 25, 1894 in Poona, Bombay Presidency, British India as Merwan Sheriar Irani"
Geeta Iyengar,Self,B.K.S. Iyengar: Uniting Through Yoga,"Geeta Iyengar was born on December 7, 1944 in British India"
Ivan Wilmot,Actor,Land Without Music,"Ivan Wilmot was born on September 21, 1896 in Asansol, West Bengal, India as Ivan Wilmot Frank Agabeg"
Sadiq Khan,Producer,Kaise Kahoon,
Eric Chohan,Sound Department,Lion of the Desert,
Askar Ibne Shaikh,Writer,Lalon Fakir,
Amrinder Goraya,Assistant Director,Mitti: Virasat Babbaran Di,"Amrinder Goraya (born 13 October 1988) is an Indian film director, writer, editor, vfx artist, producer and actor known for his works in Punjabi and Hindi cinema"
Helen Muspratt,Self,Women of Our Century,"Helen Muspratt was born on May 13, 1907 in India as Helen Margaret Muspratt"
Chidananda Saraswati,Self,A Parliament of Souls,"Chidananda Saraswati was born on September 24, 1916 in India as Sridhar Rao"
Bob Woolmer,Self,Breaking Boundaries,"Bob Woolmer was born on May 14, 1948 in Kanpur, United Provinces, India as Robert Andrew Woolmer"
B. Narayan Rao,Director,Tukaram,
Krishna Bose,Self,Between Gandhi and Hitler,"Krishna Bose was born on December 26, 1930 in Dacca, Bengal Presidency, British India"
Sabitri Heisnam,Actress,Scribbles on Akka,"Sabitri Heisnam was born on January 5, 1946 in Mayang Imphal, Manipur, India"
Narayan Debnath,Art Department,Jiban Kahini,
Satya Saha,Composer,Churiwala,"Satya Saha was born on 25 December, 1934 in Fateyabad, Patia, Chittagong, East Bengal, British India (now Bangladesh)"
John Burrell,Director,Omnibus,Father: Percy Saville Burrell; Mother: Margaret Souttar
Dharma Rao Tapi,Writer,Palletoori Pilla,Father of Tapi Chanakya
Priyanka Agarwal,Production Manager,Ronde Sare Vyah Picho,Priyanka is an alumni of Subhash Ghai's Whistling Woods International film institute
Kaustubh Singh,Producer,That Was Ray,"Often touted as a non-fiction filmmaker, Kaustubh considers himself a journalist first"
Mark Tully,Writer,Great Railway Journeys,"Mark Tully was born on October 24, 1935 in Calcutta, India"
Raseswari Baruah,Actress,Indramalati,"Raseswari Baruah was born in 1919 in Agartala, Tripura, British India"
Karthik Selvakumar,Producer,Parachute Girls,
Jai Krishnaswamy,Visual Effects,Resident Evil: The Final Chapter,"Vancouver, Canada"
Venmani Haridas,Actor,Pathram,"Venmani Haridas was born on September 15, 1946 in Aluva, Kerala, India"
Jeremy Murray-Brown,Director,Leaders of the Twentieth Century,
Nikhil Banerjee,Soundtrack,The Reluctant Fundamentalist,"Nikhil Banerjee was born on October 14, 1931 in Calcutta, India"
Pragyan Bezbaruah,Camera Department,ChaiTunes Project,
Chitrapu Narasimha Rao,Director,Sasirekha Parinayam,"Chitrapu Narasimha Rao was born in 1911 in Masulipatnam, Andhra Pradesh, India"
Maninder Singh,Actor,Kirket,"Maninder Singh was born on June 13, 1965 in Poona, Maharashtra, India"
David Besgrove,Assistant Director,"30 Is a Dangerous Age, Cynthia",
Vali,Music Department,Bhakta Prahlada,
Subbiah Muthiah,Self,The Birth of Empire: The East India Company,"Subbiah Muthiah was born on April 13, 1930 in Pallathur, Madura District, Madras Presidency, British India"
Prejish Prakash,Editorial Department,Cocktail,
Aerrow Blaze,Composer,The Glint of Darkness,
Aryaman Mondal,Editor,Amogh,
Sandhi Gupta,Assistant Director,The Replaceables,
Dhiraj Brahma,Visual Effects,Watchmen,
Gita Mehta,Director,Major Khaled's War,"Gita Mehta was born in 1943 in Delhi, India as Gita Patnaik"
Ishan Jacob,Director,In Between,A film director and writer working in the Indian film industry
Girish Bhargava,Editorial Department,Dirty Dancing,
Romeo Kattookaran,Actor,A Wonderful Day,"Romeo Kattookaran was born on March 4, 1980 in Kerala, India"
Ajit Verman,Composer,Aakrosh,Son named Varun Verman
Achal Gupt,Producer,Better Life Foundation,"Achal Gupt was born on September 21, 1989 in Meerut, Uttar Pradesh, India"
Gaurav Telang,Composer,Namak,"Nickname: GT Singer - Composer I started my Musical journey quite early from Delhi, where I was born & brought up"
Punchali Khanna,Actress,American Desi,"Punchali Khanna was born on August 7, 1977 in India"
Nipun Syal,Visual Effects,The Mysterious Artist,
Dinesh Kumar Das,Visual Effects,Game of Thrones,
Pratyush Sharma,Actor,Ek Sainik - The Tale of a warrior,Pratyush Sharma is an Indian actor and model
Keshavrao Bhole,Composer,10 O'Clock,
Subhash Kelkar,Writer,Suraag,Father of Supriya Kelkar
Dheeman Agarwala,Producer,Rasbhari,
Arya Ayaan,Director,Putanapuram: Unexpected Guest,
Debabrata Biswas,Music Department,Meghe Dhaka Tara,"Debabrata Biswas was born on August 22, 1911 in Kishoreganj, Eastern Bengal and Assam, British India"
Raghava K.K.,Art Director,Grant St. Shaving Co.,"Raghava KK, named by CNN as one of the ten most fascinating people the world is yet to know of, is a multi-disciplinary artist, working in genres as disparate as painting, film, installation, multimedia, performance, and his own wedding"
Parag Khanna,Self,"Titel, Thesen, Temperamente","Parag Khanna was born on July 27, 1977 in Kanpur, Uttar Pradesh, India"
Chahak Modi,Visual Effects,Wonder Woman,
Monisha Kaltenborn,Self,Formula 1: BBC Sport,"Monisha Kaltenborn was born on May 10, 1971 in Dehradun, Uttarkhand, India as Monisha Narang"
Sheikh Fattelal,Director,Sant Tukaram,
David Hofman,Actor,Crowning Glory,"David Hofman was born on September 23, 1908 in Poona, Bombay Presidency, British India as David George Ronald Hofman"
Juan Pablo Bustamante,Director,Lecciones para un Beso,Bachelor in Visual Arts
Derek Ezra,Self,The London Programme,"Derek Ezra was born on February 23, 1919 in India"
Ramesh Powar,Self,Victory,"Ramesh Powar was born on May 20, 1978 in Bombay, Maharashtra, India"
Kaustubh Pawaskar,Visual Effects,Don,
Pavithran Golconda,Camera Department,Aithe,Pavithran Golconda is an award winning Film Director and Cinematographer
Ashwin Singh,Visual Effects,Total Recall,
Vicky Kewat,Editor,Vaham,"Vicky Kewat was born in Korba,Chhattisgarh"
Akash Desai,Visual Effects,Hellboy,
Kavita Bajaj,Actress,Phas Gaye Re Obama,Kavita Bajaj has studied acting at Kishore Namit Kapoor's Acting School
A.V. Seshagiri Rao,Director,Na Niruvude Ninagangi,
Inder Malhotra,Self,Titkolt történetek 1956-ból - Baktay és Nehru,"Inder Malhotra was born on February 1, 1930 in Csandígarh, India"
Gama Singh,Actor,Impact! Xplosion,"Gama Singh was born on December 8, 1954 in Punjab, India"
Mayank Gulati,Actor,Kakbagodaa,"Mayank Gulati was born on November 21, 1989 in New Delhi, India"
Alpana Bannerjee,Music Department,Saheb Bibi Golam,
Rakhal Mohanty,Music Department,Manik Jodi,
